"date","title","text","article_url","year","month","year_month"
"2022/09/20 11:34:30","Incautan 106 toneladas de granos y semillas que eran trasladadas en cuatro camiones sin documentación legal","Ayer, los efectivos de Escuadrón 54 “Aguaray” desplegados sobre el kilómetro 1.466 de la Ruta Nacional N°34, a lo largo de tres horas, detuvieron la marcha de cuatro camiones con su semirremolque que provenían de distintos lugares (Santa Fe, Córdoba y Entre Ríos) con destino la localidad salteña de Salvador Mazza.

Al inspeccionar los rodados, los uniformados detectaron en todos los casos que ninguno de sus conductores poseía la documentación necesaria para el traslado de mercadería.

Dos de los camiones poseía 64.700 kilos de soja a granel y los dos restantes contenían 41.500 kilos de lino.

Intervino AFIP-DGA Delegación Pocitos junto a la Fiscalía Federal de Tartagal que dispuso el secuestro de los 106.200 kilos de granos y de los rodados en infracción a la Ley 22.415 “Código Aduanero”.

La mercadería incautada posee un avalúo superior a los $4.749.000.","https://www.argentina.gob.ar/noticias/incautan-106-toneladas-de-granos-y-semillas-que-eran-trasladadas-en-cuatro-camiones-sin",2022,9,2022.09
"2022/09/16 12:02:40","Despachan 736 cubiertas hacia Buenos Aires","Ayer, personal que depende del Escuadrón Núcleo “Entre Ríos”, desplegado sobre la Ruta Nacional N° 12, en cercanías a la localidad de La Paz, inspeccionó un camión perteneciente a una empresa de correo, proveniente de la provincia de Misiones con destino final Buenos Aires.

Al registrar la carga del transporte de encomiendas, los efectivos detectaron cubiertas de origen extranjero, de distintas marcas y medidas, sin aval legal.

Intervino el Juzgado Federal N° 1 de Paraná y los funcionarios secuestraron 736 neumáticos, por encontrarse en infracción a la Ley 22.415 “Código Aduanero”.","https://www.argentina.gob.ar/noticias/despachan-736-cubiertas-hacia-buenos-aires",2022,9,2022.09
"2022/06/16 09:57:01","Trasladaba 25.000 cartuchos para escopeta sin documentación correspondiente","Ayer, los efectivos de la Sección de Seguridad “Victoria” dependiente del Escuadrón 46 “Rosarío-Victoria” mientras efectuaban controles sobre el kilómetro 5,2 de la Ruta Nacional N° 174 en el Peaje Isla La Deseada en la provincia de Entre Ríos, detuvieron la marcha de una camioneta tipo pick-up.

Al momento de la inspección, detectaron a simple vista en el sector de la caja del rodado, 50 cajas que contenían municiones. Ante esa situación, se le solicitó la documentación correspondiente al conductor, quien presento la Credencial de Legitimo Usuario vencida y tampoco contaba con algún remito de lo transportado.
Se contabilizaron un total de 25.000 cartuchos para escopeta.

El Juzgado Federal de Victoria dispuso el secuestro de las municiones en infracción a la Ley Nacional de Armas y Explosivos 20.429. El conductor quedó en libertad supeditado a la causa.","https://www.argentina.gob.ar/noticias/trasladaba-25000-cartuchos-para-escopeta-sin-documentacion-correspondiente",2022,6,2022.06
"2022/03/13 08:52:01","Intentan huir en un taxi con más de 69 kilos de marihuana","Ayer, efectivos del Escuadrón Núcleo “Entre Ríos”, procedieron a detener la marcha de un automóvil que circulaba sobre el kilómetro 680 de la Ruta Nacional 12, en la ciudad de Paraná.

Los uniformados observaron que el conductor del vehículo omitía sus señales de detención, por lo que iniciaron un seguimiento controlado del rodado, logrando detenerlo a la altura del Arroyo Aldano.

Al registrar el automóvil ante testigos, el cual funcionaba como taxi, los funcionarios constataron la presencia de paquetes de ”cannabis sativa” por un total de 69 kilos 816 gramos, distribuidos en bolsos.

Los gendarmes comunicaron el hecho al Juzgado Federal de Paraná, quien orientó el decomiso del estupefaciente y la detención de los dos ocupantes del rodado.","https://www.argentina.gob.ar/noticias/intentan-huir-en-un-taxi-con-mas-de-69-kilos-de-marihuana",2022,3,2022.03
"2022/02/09 12:12:42","Detienen a tres personas que trasladaban más de 14 kilos de marihuana en un taxi","Efectivos de la Sección Seguridad Vial “Colastiné”, dependiente del Escuadrón Núcleo “Santa Fe Norte”, al momento en que se encontraban realizando controles a la altura del kilómetro 10,4 de la Ruta Nacional N° 168, detuvieron un vehículo Renault Logan que funcionaba como taxi, conducido por un ciudadano, quien trasladaba a dos pasajeros desde la ciudad de Santa Fe hacia Paraná, Entre Ríos.

Durante el registro correspondiente del rodado, los gendarmes detectaron 12 paquetes rectangulares distribuidos sobre un asiento delantero y la guantera. Los mismos contenían una sustancia vegetal, la cual fue sometida a prueba de campo Narcotest, arrojando resultado positivo para “cannabis sativa”, con un peso de 14 kilos 210 gramos.

Seguidamente, los uniformados inspeccionaron las pertenencias de los involucrados, detectando un envoltorio con 37 gramos de cocaína y 19.410 pesos argentinos.

Intervino el Juzgado Federal N° 2 de la ciudad de Santa Fe, quien orientó la detención de los involucrados, como así también el decomiso del estupefaciente y del dinero en efectivo.","https://www.argentina.gob.ar/noticias/detienen-tres-personas-que-trasladaban-mas-de-14-kilos-de-marihuana-en-un-taxi",2022,2,2022.02
"2021/12/20 11:44:59","Ocultaban marihuana dentro de paquetes de pan dulce","El pasado 11 de diciembre, a la altura del kilómetro 124,5 de la Ruta Nacional N° 14 en la provincia de Entre Ríos, efectivos del Escuadrón 6 “Concepción del Uruguay” al momento de realizar controles sobre un camión de transporte de encomiendas fueron alertados por la reacción del can detector de narcóticos.

En una caja constataron la presencia de marihuana dentro de cuatro envoltorios de pan dulce, un total de 2 kilos 64 gramos se incautó.

Con intervención del Juzgado Federal N° 1 de Concepción del Uruguay a cargo del Dr. Pablo Andres Seró, Secretaría de Derechos Humanos a cargo del Dr. Mariano Gaspar Fornasari, indicaron como medidas procesales una “entrega vigilada con seguimiento y preservación de encomienda bajo custodia judicial”.

Pasado cuatro días de tareas de vigilancia llevadas a cabo por personal de la Unidad de Investigaciones de Delitos Complejos y Procedimientos Judiciales “Mendoza”; los funcionarios detectaron en inmediaciones al depósito de paquetes postales, un hombre que se disponía a retirar la caja custodiada.

Conforme orientación del Magistrado que entiende en la causa, los gendarmes procedieron a detener al ciudadano, incautar la marihuana, y dinero en efectivo.","https://www.argentina.gob.ar/noticias/ocultaban-marihuana-dentro-de-paquetes-de-pan-dulce",2021,12,2021.12
"2021/11/03 10:41:03","Allanan un inmueble en una causa por cultivo de marihuana proveniente de Europa","Efectivos de la Unidad de Investigaciones de Delitos Complejos y Procedimientos Judiciales “Concepción del Uruguay”, con apoyo del Escuadrón de Operaciones Antidrogas y del Escuadrón 6, con intervención de la División de Investigaciones de Narcotráfico de la Dirección General de Aduana, dieron cumplimiento a un mandato judicial emitido por el Juzgado Nacional en lo Penal Económico Nº 5 de la Ciudad Autónoma de Buenos Aires, tras efectuar tareas investigativas a fines de dar con el involucrado que recibía semillas de “cannabis sativa” de Europa y realizaba el cultivo de las mismas.

Fue así que, los funcionarios registraron el pasado lunes un domicilio ubicado en la ciudad de Colón (Entre Ríos), donde incautaron 7.106 semillas, 93 plantines, blisters con semillas, frascos con flores y una balanza digital.

Asimismo, se secuestraron elementos utilizados para el cultivo (fertilizantes, pesticidas, fortalecedores celulares, tubos eppendorf, cajas, lámparas, carpas indoor, bombas de aire, entre otras), teléfonos celulares y demás documentación de interés para la causa.

El Magistrado interviniente dispuso el decomiso de la droga y de la totalidad de los elementos hallados como así también la detención del ciudadano en infracción a la Ley 22.415 “Código Aduanero” y la Ley 23.737 “Estupefaciente”.","https://www.argentina.gob.ar/noticias/allanan-un-inmueble-en-una-causa-por-cultivo-de-marihuana-proveniente-de-europa",2021,11,2021.11
"2021/10/31 12:24:41","Secuestran 15 toneladas de Amoníaco anhidro Industrial y más de 3 millones de pesos en cubiertas en dos procedimientos","Hoy integrantes de la Sección Seguridad “Rosario – Victoria”, en el peaje “Isla la Deseada” próximo a la localidad entrerriana de Victoria. Detectaron un vehículo de transporte de encomiendas, que se dirigía hacia la provincia de Buenos Aires. Como entre su carga trasladaba 48 neumáticos de origen extranjero (China) enviados por el mismo remitente sin los avales aduaneros. En presencia de funcionarios de la Aduana de la Delegación Diamante (E.R) se realizó el avalúo alcanzando el importe de $3.950.000.

Los neumáticos fueron incautados por los gendarmes por encontrarse en infracción a la Ley 22.415, con conocimiento del Juzgado Federal Nro. 1 de Paraná quedaron a disposición de DGA Delegación Diamante.

El segundo procedimiento ocurrió el pasado viernes, cuando efectivos del mismo Escuadrón, desplegados sobre el kilómetro 5,2 de la Ruta Nacional N°174, detuvieron la marcha de un transporte tipo tractor con tanque que circulaba desde Buenos Aires hacia la provincia de Entre Ríos.

Al controlar la documentación de la carga, los uniformados constataron que transportaba 15.680 kilos Amoníaco anhidro Industrial, sin el aval legal correspondiente.

Luego de tomar contacto con la Dirección del Registro y Fiscalización de Precursores Químicos del Ministerio de Seguridad, el personal de la Fuerza procedió a interdicción de la carga y el rodado en infracción a la Ley N° 26.045 de Precursores Químicos y al Decreto Reglamentario N°593/19.

Los precursores químicos son sustancias que pueden ser utilizadas para la producción, fabricación y reparación de estupefacientes y sustancias psicotrópicas, y que incorporan la estructura molecular al producto.","https://www.argentina.gob.ar/noticias/secuestran-15-toneladas-de-amoniaco-anhidro-industrial-y-mas-de-3-millones-de-pesos-en",2021,10,2021.1
"2021/10/16 12:27:04","Rescatan en Concordia a ocho personas víctimas de explotación laboral","Luego de extensas tareas investigativas, efectivos del Grupo Operativo de Investigaciones y Procedimientos, con apoyo del Escuadrón 4 “Concordia”, allanaron un campo en cercanías al Paraje “El Duraznal”, ubicado en el departamento entrerriano de Concordia, donde rescataron a ocho ciudadanos, víctimas de Trata de personas con fines de explotación laboral.

Al llegar al lugar, los funcionarios hallaron a siete personas mayores y un menor de edad, provenientes de las provincias de Misiones y Corrientes, que se encontraban en situación de vulnerabilidad y precariedad laboral, en tanto carecían de agua potable, sanitarios y luz eléctrica, mientras vivían en carpas precarias y bajo condiciones de falta de salubridad.

Asimismo, el personal de la Fuerza detuvo al arrendatario del predio y al capataz, como así también secuestró una camioneta 4x4, un auto, dos celulares y demás elementos de interés para la investigación.

Las víctimas fueron asistidas por el personal del Programa Nacional de Rescate y Acompañamiento a Personas Damnificadas por el Delito de Trata de Personas de la Ciudad Autónoma de Buenos Aires y personal del Ministerio de Trabajo de la provincia de Entre Ríos.

Al encontrarse ante un hecho de presunta infracción a la Ley 26.364 “Prevención y Sanción de la Trata de Personas y Asistencia a sus víctimas”, el Juzgado Federal y la Fiscalía Federal de Concepción del Uruguay orientaron la detención de los involucrados y la incautación del vehículo, además de dispositivos tecnológicos.","https://www.argentina.gob.ar/noticias/rescatan-en-concordia-ocho-personas-victimas-de-explotacion-laboral",2021,10,2021.1
"2021/10/08 11:06:03","Transportaba aves autóctonas ocultas en el torpedo de un automóvil","Efectivos del Escuadrón Núcleo “Entre Ríos” se encontraban desplegados sobre la Ruta Provincial Nº 32 (Acceso Aldea Santa Rosa) cuando detuvieron la marcha de un automóvil Fiat Palio que circulaba desde la ciudad correntina de Goya con destino final Rosario, Santa Fe.

Al llevar a cabo la inspección del rodado, los gendarmes detectaron en el torpedo cinco cajas de cartón que contenían cinco aves autóctonas de la especie “Boyero” (Cacicus Solitarius).

Los uniformados tomaron contacto con la Dirección de Fiscalización, Secretaría de Flora y Fauna de la provincia de Entre Ríos que orientó el secuestro de los ejemplares para su posterior liberación.

Se labraron las actas en infracción a la Ley Provincial de Caza Nº 4841, Decretos y Resoluciones complementarias.

Posteriormente, se efectuó la entrega de las aves autóctonas al Secretario de la Dirección de Flora y Fauna de la Provincia de Entre Ríos, quien acompañado con integrantes de la Unidad de la Fuerza se trasladaron hasta un campo de la ciudad de Oro Verde donde realizaron la liberación de las aves a su hábitat natural.","https://www.argentina.gob.ar/noticias/transportaba-aves-autoctonas-ocultas-en-el-torpedo-de-un-automovil",2021,10,2021.1
