"date","title","text","article_url","incautaciones","tires","year","month","year_month"
"2023/05/15 10:49:19","Decomisan 229 neumáticos y 125 kilos de hojas de coca que eran transportados en dos transportes de tour de compras","En la tarde de ayer, efectivos del Grupo “Burruyacú” dependiente del Escuadrón 55 “Tucumán”, mientras realizaban tareas de patrullajes sobre la Ruta Nacional N° 34, a la altura de la localidad tucumana de 7 de Abril, verificaron dos ómnibus de pasajeros utilizados como “tour de compras”.

Como resultado de las inspecciones, los uniformados constataron la presencia de 229 cubiertas de diferentes marcas y rodados como así también 125 kilos de hojas de coca en estado natural, los cuales eran trasladados sin el aval legal correspondiente.

Intervino el Juzgado Federal N° 2 de Tucumán, que ordenó el secuestro de la mercadería, valuada en 6.447.420 pesos argentinos, por encontrarse en presunta infracción a la Ley 22.415 “Código Aduanero”.","https://www.argentina.gob.ar/noticias/decomisan-229-neumaticos-y-125-kilos-de-hojas-de-coca-que-eran-transportados-en-dos","229 neumáticos",229,2023,5,2023.05
"2023/05/09 15:12:41","Detectan 22 cubiertas de contrabando","Ayer, en horas de la noche, efectivos del Control Fijo “Gendarme Fermín Rolón” dependiente del Escuadrón 16 “Clorinda” efectuaron un registro físico documentológico de rutina de un transporte de cargas generales, constatando en el tractor y semirremolque 22 cubiertas colocadas (en rodamiento) de origen extranjero, sin contar con el aval aduanero para vehículos de gran porte.

Seguidamente, los gendarmes consultaron a personal de la Aduana a fin de cotejar en el sistema, el cual no registró alerta (no ingresó al territorio nacional con cubiertas nuevas).

Se puso en conocimiento al Juzgado Federal N° 2 y la Fiscalía Federal N° 2, quienes orientaron el secuestro de los rodados y de la mercadería, que quedó a disposición de la AFIP/DGA. Mientras que el conductor quedó supeditado a la causa.","https://www.argentina.gob.ar/noticias/detectan-22-cubiertas-de-contrabando","22 cubiertas",22,2023,5,2023.05
"2023/05/08 12:27:42","Decomisan hojas de coca y neumáticos en dos procedimientos","Hoy en horas de la madrugada, los efectivos del Escuadrón 55 “Tucumán” emplazados sobre la Ruta Nacional N° 34,a la altura de la localidad de 7 de Abril, detuvieron la marcha de un transporte de pasajeros proveniente de Orán (provincia de Salta).

Al momento de la inspección, los funcionarios hallaron 160 cubiertas de distintos rodados y 20 kilos de hojas de coca.

El segundo procedimiento tuvo lugar en la localidad de Las Talitas, en donde abrieron encomiendas que fueron interdictadas junto a AFIP-DGA.

En presencia de testigos, los uniformados detectaron 754 kilos de hojas de coca en su estado natural. También hallaron 136 neumáticos de distintas medidas sin documentación que justifique su procedencia.

Por orden de los Juzgados Federales N°1 y N°2 de Tucumán, los elementos fueron secuestrados en infracción a la Ley 22.415 del ""Código Aduanero"".","https://www.argentina.gob.ar/noticias/decomisan-hojas-de-coca-y-neumaticos-en-dos-procedimientos",NA,NA,2023,5,2023.05
"2023/05/08 12:27:42","Decomisan hojas de coca y neumáticos en dos procedimientos","Hoy en horas de la madrugada, los efectivos del Escuadrón 55 “Tucumán” emplazados sobre la Ruta Nacional N° 34,a la altura de la localidad de 7 de Abril, detuvieron la marcha de un transporte de pasajeros proveniente de Orán (provincia de Salta).

Al momento de la inspección, los funcionarios hallaron 160 cubiertas de distintos rodados y 20 kilos de hojas de coca.

El segundo procedimiento tuvo lugar en la localidad de Las Talitas, en donde abrieron encomiendas que fueron interdictadas junto a AFIP-DGA.

En presencia de testigos, los uniformados detectaron 754 kilos de hojas de coca en su estado natural. También hallaron 136 neumáticos de distintas medidas sin documentación que justifique su procedencia.

Por orden de los Juzgados Federales N°1 y N°2 de Tucumán, los elementos fueron secuestrados en infracción a la Ley 22.415 del ""Código Aduanero"".","https://www.argentina.gob.ar/noticias/decomisan-hojas-de-coca-y-neumaticos-en-dos-procedimientos",NA,NA,2023,5,2023.05
"2023/05/05 12:59:08","Detectan 121 cubiertas de contrabando en tres procedimientos","En la mañana de ayer, integrantes dependientes del Escuadrón 55 “Tucumán” controlaron un transporte de pasajeros que circulaba desde la ciudad salteña de Orán hacia la ciudad de Reconquista, provincia de Santa Fe.

El hecho ocurrió a la altura del kilómetro 986 de la Ruta Nacional N° 34, cuando los gendarmes incautaron 104 cubiertas en infracción a la Ley 22.415 “Código Aduanero”, por disposición del Juzgado Federal N° 2 de Tucumán.

Por otro lado, en Chaco, efectivos de la Sección Seguridad Vial “Lapachito”, que depende del Escuadrón 14 “Las Palmas”, desplegados en la intersección de la Ruta Nacional N°11 (kilómetro 1.060) y Ruta Provincial N° 56, secuestraron ocho neumáticos trasladados en un transporte de cargas generales que tenía como itinerario Formosa-Santa Fe.

Se dio intervención al Juzgado Federal N° 1 de Resistencia.

En horas de la tarde, personal de la Sección “General San Martín”, dependiente de la misma Unidad, mientras efectuaban tareas de patrullaje, detuvieron la marcha de una camioneta Volkswagen Amarok que trasladaba nueve cubiertas sin aval aduanero. Intervino AFIP-DGA.","https://www.argentina.gob.ar/noticias/detectan-121-cubiertas-de-contrabando-en-tres-procedimientos","121 cubiertas",121,2023,5,2023.05
"2023/05/04 15:43:53","Incautan 16 cubiertas sin aval legal en Chaco","Hoy, los efectivos del Escuadrón 51 “Fontana” mientras efectuaban controles sobre el kilómetro 5 de la Ruta Nacional N° 16, en la localidad de Barranqueras, detuvieron la marcha de una camioneta.

Al inspeccionar la carga, los funcionarios hallaron 16 cubiertas de origen extranjero de los cuales el conductor no poseía ninguna documentación que justifique su procedencia.

Ante esa situación, se consultó con integrantes de AFIP-DGA, quienes determinaron que el involucrado no presentaba el despacho de importación aduanero.

El Magistrado Interviniente ordenó el secuestro de la mercadería en infracción a la Ley 22.415 “Código Aduanero” y el decomiso del rodado.","https://www.argentina.gob.ar/noticias/incautan-16-cubiertas-sin-aval-legal-en-chaco","16 cubiertas",16,2023,5,2023.05
"2023/04/28 16:06:57","Hallaron hojas de coca y neumáticos ocultos entre bolsas de azúcar","Como resultado de múltiples procedimientos efectuados en las provincias de Catamarca y San Juan, se incautaron un total de 160 kilos de hojas de coca y 12 neumáticos en infracción a la Ley 22.415.

Ayer, personal dependiente de la Agrupación VIII “Catamarca” a la altura del kilómetro 1011 de la Ruta Nacional N° 157, controlaron un camión que trasladaba bolsas con azúcar. Los gendarmes observaron que, entre las compuertas del semirremolque y el cargamento, había paquetes con un total de 150 kilos de hojas de coca.

Por orientación del Juzgado Federal Nro 1 de Catamarca, se incautó la sustancia vegetal, se labraron las actuaciones y los elementos quedaron a disposición de la AFIP-DGA “Tinogasta”.

En un segundo procedimiento, sobre la Ruta Nacional N° 141 departamento de Caucete, los uniformados del Escuadrón Núcleo “San Juan” secuestraron 12 cubiertas de contrabando que se hallaban entre bolsas de azúcar.

Por último, un colectivo de larga distancia que realizaba el recorrido Jujuy – Mendoza, llevaba en el compartimento para la batería y el motor, bultos que contenían 10 kilos de hojas de coca.

Una vez confeccionadas las actuaciones, la mercadería quedó a disposición de AFIP-DGA delegación San Juan.","https://www.argentina.gob.ar/noticias/hallaron-hojas-de-coca-y-neumaticos-ocultos-entre-bolsas-de-azucar",NA,NA,2023,4,2023.04
"2023/04/28 08:55:35","Abandonan camioneta en una propiedad privada con 20000 atados de cigarrillos","Ayer, los efectivos del Escuadrón 12 “Bernardo de Irigoyen” desplegados sobre la Ruta Nacional N° 14 observaron como una camioneta evadió el control de la Fuerza y se dirigió hacia un camino vecinal.

Como resultado de un operativo cerrojo, los funcionarios hallaron el rodado dentro de una propiedad privada. El vehículo fue encontrado abandonado y con uno de sus neumáticos pinchado.

También, pudieron constatar que la camioneta había sido robada en el partido bonaerense de La Matanza y que la patente era apócrifa.

En presencia de testigos, los gendarmes detectaron 40 cajas con un total de 20.000 atados de cigarrillos en el rodado.

Además, aprehendieron a una persona que había vuelto en busca de la camioneta con dos gatos hidráulicos en su mochila.

El Juzgado Federal de Eldorado junto a la Fiscalía dispuso el secuestro de la mercadería y el vehículo, como así también que el involucrado quede en libertad supeditado a la causa.","https://www.argentina.gob.ar/noticias/abandonan-camioneta-en-una-propiedad-privada-con-20000-atados-de-cigarrillos",NA,NA,2023,4,2023.04
"2023/04/26 13:34:05","Decomisaron 15 kilos de cocaína, 140 kilos de hojas de coca y cinco ciudadanos quedaron detenidos","Integrantes del Escuadrón 64 ""Mendoza"" sobre la Ruta Nacional Nro 142, inspeccionaron un transporte (tours de compras) procedente de Salta y detuvieron a cinco personas. Los uniformados controlaron un ómnibus, y ante la presencia de testigos hallaron 15 paquetes rectangulares con un peso total de 15 kilos 616 gramos de cocaína.

Continuando con la requisa, los funcionarios constataron 85 kilos de hojas de coca en estado natural y 55 neumáticos para automotores de diferentes rodados y marcas en infracción a la Ley 22.415.

Intervino el Juzgado Federal de Mendoza Nro 1, Secretaria Penal “A” quien orientó la detención de los involucrados (los conductores, la dueña del colectivo, el coordinador y el presunto propietario de la sustancia), el decomiso de las hojas de coca y el estupefaciente.

En un segundo control sobre otro transporte, los efectivos de la Fuerza incautaron 55 kilos de hojas de coca en estado natural.","https://www.argentina.gob.ar/noticias/decomisaron-15-kilos-de-cocaina-140-kilos-de-hojas-de-coca-y-cinco-ciudadanos-quedaron",NA,NA,2023,4,2023.04
"2023/04/23 11:27:41","Detectan en Rosario 395 neumáticos en encomiendas y más de 26 millones de pesos","Efectivos de la Agrupación Especial de Despliegue Rápido ""Gral D. Martín Miguel de Güemes"", en conjunto con personal de la Sección “Arroyo Seco” y con apoyo de la Policía de Seguridad Aeroportuaria, controlaron un transporte de encomiendas sobre el kilómetro 271 de la Ruta Nacional N°9, a la altura del Peaje General Lagos.

Durante la inspección del rodado, los uniformados constataron que circulaba desde Salta hacia Buenos Aires, trasladando 395 neumáticos de diferentes marcas e industria extranjera sin el aval legal.

Los gendarmes secuestraron la mercadería, con intervención al Juzgado Federal de Rosario y Aduana.

Asimismo, en un segundo procedimiento, los funcionarios incautaron 26.770.000 pesos argentinos, que se encontraban en el interior de dos cajas de herramientas y una mochila que eran transportadas en un rodado con un ciudadano a bordo.

La Fiscalía de flagrancia en turno dispuso el secuestro del dinero, como así también el traslado del aprehendido y del vehículo hasta el asiento de la Comisaria jurisdiccional, para proseguir las actuaciones.","https://www.argentina.gob.ar/noticias/detectan-en-rosario-395-neumaticos-en-encomiendas-y-mas-de-26-millones-de-pesos","395 neumáticos",395,2023,4,2023.04
